timestamp_ms,symbol,action,direction,a_side,a_price_nominal,b_side,b_price_nominal,a_fill_price,b_fill_price,qty,net_pnl,cum_pnl,spread_ab_pct,spread_ba_pct
1780737761230,WLDUSDT,open,-a+b,sell,0.4169,buy,0.4158,0.4159,0.4161,12,-0.009388799999999736,-0.009388799999999736,0.2645502645502621,-0.31175059952037604
1780738546546,BTWUSDT,open,+a-b,buy,0.042774,sell,0.04308,0.043329,0.043153,200,-0.04730747999999967,-0.056696279999999405,-0.802653861321825,0.7153878524337232
1780738549592,BTWUSDT,close,-a+b,sell,0.043379,buy,0.043233,0.043336,0.043321,200,-0.009131979999999885,-0.06582825999999929,0.33770499387042374,-0.46282438002256504
1780738689769,BTWUSDT,open,+a-b,buy,0.042625,sell,0.042801,0.043125,0.043015,200,-0.034059600000000245,-0.09988785999999954,-0.6837008517092397,0.4129032258064413
1780738756144,BTWUSDT,close,-a+b,sell,0.043032,buy,0.042884,0.042988,0.042898,200,0.005975960000000682,-0.09391189999999885,0.3451170599757539,-0.5364482942802119
1780738972717,WLDUSDT,close,+a-b,buy,0.419,sell,0.4197,0.4199,0.4195,12,-0.01185096000000036,-0.10576285999999921,-0.4278583313525134,0.16706443914081956
1780740452597,WLDUSDT,open,-a+b,sell,0.401,buy,0.3999,0.3988,0.3991,13,-0.013235429999999793,-0.013235429999999793,0.27506876719180934,-0.3987042113132296
1780740782247,BTWUSDT,open,-a+b,sell,0.0424,buy,0.042126,0.042468,0.042355,200,0.007331859999998844,-0.005903570000000949,0.6504296633907881,-0.6980638162394278
1780741403987,WLDUSDT,close,+a-b,buy,0.4014,sell,0.4031,0.4029,0.4026,13,-0.013324349999998902,-0.01922791999999985,-0.47123015873016194,0.42351768809168777
1780741463024,BTWUSDT,close,+a-b,buy,0.043554,sell,0.043663,0.043831,0.043629,200,-0.05614279999999999,-0.07537071999999984,-0.5050851331276401,0.2502640400422418
