row_no,timestamp_iso,symbol,action,direction,qty,a_side,b_side,lat_a_age_ms,lat_b_age_ms,lat_leg_skew_ms,a_minus_b_ms,a_minus_recv_ms,b_minus_recv_ms,a_send_price,a_fill_price,b_send_price,b_fill_price,a_adverse_slippage_usdt,b_adverse_slippage_usdt,total_adverse_slippage_usdt,net_pnl
101,2026-06-11T23:45:17.400Z,SKYAIUSDT,close,-a+b,30,sell,buy,38.0,2.0,36.0,-36.0,-38.0,-2.0,0.2547,0.25462,0.25386,0.25487,0.0023999999999990695,0.030300000000000327,0.032699999999999396,-0.015142349999999638
102,2026-06-11T23:45:27.401Z,SKYAIUSDT,close,-a+b,30,sell,buy,3.0,3.0,0.0,0.0,-3.0,-3.0,0.25593,0.25593,0.2554,0.25602,0.0,0.018600000000000283,0.018600000000000283,-0.010379249999999729
103,2026-06-12T02:11:03.988Z,SKYAIUSDT,close,-a+b,30,sell,buy,24.0,27.0,3.0,3.0,-24.0,-27.0,0.27478,0.27418,0.27424,0.27475,0.018000000000001348,0.015300000000000313,0.03330000000000166,-0.02533395000000027
104,2026-06-12T02:24:14.640Z,EPICUSDT,add,+a-b,12,buy,sell,22.0,27.0,5.0,5.0,-22.0,-27.0,0.6707,0.6707,0.6765,0.6733,0.0,0.03839999999999977,0.03839999999999977,0.023135999999999157
105,2026-06-12T02:31:24.005Z,EPICUSDT,add,+a-b,12,buy,sell,18.0,21.0,3.0,3.0,-18.0,-21.0,0.6764,0.6752,0.6829,0.6793,-0.014399999999999746,0.04319999999999924,0.028799999999999493,0.041073009999999854
106,2026-06-12T02:41:08.468Z,EPICUSDT,add,+a-b,12,buy,sell,14.0,16.0,2.0,2.0,-14.0,-16.0,0.68,0.6805,0.6853,0.6845,0.005999999999999339,0.009600000000000275,0.015599999999999614,0.03981000000000101
107,2026-06-12T02:45:16.643Z,EPICUSDT,close,-a+b,12,sell,buy,37.0,37.0,0.0,0.0,-37.0,-37.0,0.6896,0.6863,0.6883,0.6883,0.039599999999999635,0.0,0.039599999999999635,-0.03224759000000077
108,2026-06-12T04:08:29.470Z,SKYAIUSDT,open,+a-b,30,buy,sell,19.0,25.0,6.0,6.0,-19.0,-25.0,0.26659,0.26634,0.26897,0.2664,-0.007499999999999174,0.07709999999999884,0.06959999999999966,-0.0061910899999988445
109,2026-06-12T04:14:43.975Z,SKYAIUSDT,close,-a+b,30,sell,buy,16.0,19.0,3.0,3.0,-16.0,-19.0,0.27368,0.27336,0.27289,0.27393,0.009599999999999609,0.03119999999999956,0.04079999999999917,-0.025309339999999736
110,2026-06-12T04:50:45.893Z,EPICUSDT,close,-a+b,12,sell,buy,6.0,7.0,1.0,1.0,-6.0,-7.0,0.6036,0.6026,0.6025,0.6026,0.01200000000000001,0.0011999999999998678,0.013199999999999878,-0.00723119999999966
111,2026-06-12T04:50:47.535Z,EPICUSDT,close,-a+b,12,sell,buy,10.0,1.0,9.0,-9.0,-10.0,-1.0,0.5958,0.5955,0.5946,0.5954,0.0035999999999996035,0.009600000000000275,0.013199999999999878,-0.005945400000000767
112,2026-06-12T04:50:51.974Z,EPICUSDT,close,-a+b,12,sell,buy,8.0,10.0,2.0,2.0,-8.0,-10.0,0.5714,0.5692,0.5702,0.5696,0.026399999999999757,-0.007200000000000539,0.019199999999999218,-0.01163280000000011
113,2026-06-12T04:51:01.900Z,EPICUSDT,add,-a+b,12,sell,buy,15.0,24.0,9.0,9.0,-15.0,-24.0,0.56,0.559155,0.5567,0.5591,0.010140000000001148,0.028800000000000825,0.03894000000000197,-0.006049530000000303
114,2026-06-12T04:51:05.481Z,EPICUSDT,close,+a-b,12,buy,sell,5.0,6.0,1.0,1.0,-5.0,-6.0,0.5217,0.52047,0.5239,0.5205,-0.014760000000000773,0.040800000000000836,0.026040000000000063,-0.005885820000001374
115,2026-06-12T04:51:34.517Z,EPICUSDT,add,+a-b,12,buy,sell,3.0,8.0,5.0,5.0,-3.0,-8.0,0.563,0.567,0.5693,0.5639,0.04800000000000004,0.06480000000000086,0.1128000000000009,-0.043985400000000396
116,2026-06-12T04:52:05.429Z,EPICUSDT,close,-a+b,12,sell,buy,15.0,23.0,8.0,8.0,-15.0,-23.0,0.563,0.5614,0.5614,0.5635,0.019199999999999218,0.02519999999999989,0.04439999999999911,-0.03194940000000113
117,2026-06-12T04:52:22.735Z,EPICUSDT,add,-a+b,12,sell,buy,17.0,22.0,5.0,5.0,-17.0,-22.0,0.5764,0.5757,0.5746,0.5748,0.008400000000000407,0.0023999999999997357,0.010800000000000143,0.0038970000000002614
118,2026-06-12T04:52:26.863Z,EPICUSDT,add,-a+b,12,sell,buy,3.0,9.0,6.0,6.0,-3.0,-9.0,0.5758,0.5761,0.574,0.5744,-0.0035999999999996035,0.004800000000000804,0.0012000000000012,0.013497000000000092
119,2026-06-12T04:52:32.514Z,EPICUSDT,add,-a+b,12,sell,buy,4.0,8.0,4.0,4.0,-4.0,-8.0,0.572,0.5722,0.5701,0.5706,-0.002400000000001068,0.005999999999999339,0.0035999999999982712,0.01234320000000011
120,2026-06-12T04:52:33.790Z,EPICUSDT,add,-a+b,12,sell,buy,2.0,3.0,1.0,1.0,-2.0,-3.0,0.5679,0.5679,0.5661,0.5662,0.0,0.0011999999999998678,0.0011999999999998678,0.013595399999998925
121,2026-06-12T04:52:39.955Z,EPICUSDT,add,-a+b,12,sell,buy,2.0,5.0,3.0,3.0,-2.0,-5.0,0.5679,0.5681,0.5661,0.5661,-0.002400000000001068,0.0,-0.002400000000001068,0.017194799999998622
122,2026-06-12T04:52:42.961Z,EPICUSDT,add,-a+b,12,sell,buy,2.0,9.0,7.0,7.0,-2.0,-9.0,0.5703,0.569975,0.5685,0.5685,0.0039000000000002366,0.0,0.0039000000000002366,0.01086914999999955
123,2026-06-12T04:52:51.979Z,EPICUSDT,close,+a-b,12,buy,sell,2.0,4.0,2.0,2.0,-2.0,-4.0,0.5574,0.562,0.56,0.56,0.05520000000000058,0.0,0.05520000000000058,-0.03073199999999865
124,2026-06-12T04:52:57.803Z,EPICUSDT,add,-a+b,12,sell,buy,1.0,9.0,8.0,8.0,-1.0,-9.0,0.5465,0.5466,0.5448,0.5448,-0.0011999999999998678,0.0,-0.0011999999999998678,0.015051600000000498
125,2026-06-12T04:53:01.894Z,EPICUSDT,close,+a-b,12,buy,sell,3.0,32.0,29.0,29.0,-3.0,-32.0,0.5293,0.5288,0.5311,0.5284,-0.005999999999999339,0.03240000000000043,0.02640000000000109,-0.011143200000000242
126,2026-06-12T04:53:17.549Z,EPICUSDT,close,+a-b,12,buy,sell,4.0,11.0,7.0,7.0,-4.0,-11.0,0.5231,0.5239,0.5248,0.5248,0.009600000000000275,0.0,0.009600000000000275,0.004507800000000728
127,2026-06-12T04:53:24.704Z,EPICUSDT,close,+a-b,12,buy,sell,2.0,5.0,3.0,3.0,-2.0,-5.0,0.5359,0.5356,0.5376,0.5363,-0.003600000000000936,0.015599999999999614,0.011999999999998678,0.001968600000000542
128,2026-06-12T04:53:36.648Z,EPICUSDT,close,+a-b,12,buy,sell,4.0,10.0,6.0,6.0,-4.0,-10.0,0.5539,0.5528,0.5558,0.5532,-0.013199999999999878,0.03119999999999923,0.01799999999999935,-0.0018359999999999488
129,2026-06-12T04:53:40.679Z,EPICUSDT,close,+a-b,12,buy,sell,2.0,9.0,7.0,7.0,-2.0,-9.0,0.5622,0.5622,0.5641,0.5621,0.0,0.02400000000000002,0.02400000000000002,-0.007945799999999892
130,2026-06-12T04:53:41.848Z,EPICUSDT,close,+a-b,12,buy,sell,3.0,9.0,6.0,6.0,-3.0,-9.0,0.5675,0.5675,0.5693,0.5673,0.0,0.02400000000000002,0.02400000000000002,-0.009208799999998796
131,2026-06-12T04:58:06.482Z,EPICUSDT,open,-a+b,12,sell,buy,12.0,11.0,1.0,-1.0,-12.0,-11.0,0.5646,0.564575,0.5628,0.5652,0.0002999999999993008,0.028800000000000825,0.029100000000000126,-0.014278650000000503
132,2026-06-12T04:58:10.789Z,EPICUSDT,add,-a+b,12,sell,buy,10.0,15.0,5.0,5.0,-10.0,-15.0,0.5616,0.5619,0.5599,0.5607,-0.0035999999999996035,0.009600000000000275,0.0060000000000006715,0.007664400000000349
133,2026-06-12T04:58:12.788Z,EPICUSDT,add,-a+b,12,sell,buy,3.0,9.0,6.0,6.0,-3.0,-9.0,0.5655,0.5652,0.5637,0.5649,0.0035999999999996035,0.014399999999999746,0.01799999999999935,-0.0031805999999994228
134,2026-06-12T04:58:24.918Z,EPICUSDT,add,-a+b,12,sell,buy,18.0,25.0,7.0,7.0,-18.0,-25.0,0.5583,0.5592,0.5564,0.5578,-0.010800000000000143,0.016799999999999482,0.005999999999999339,0.010098000000000162
135,2026-06-12T04:58:26.609Z,EPICUSDT,add,-a+b,12,sell,buy,2.0,5.0,3.0,3.0,-2.0,-5.0,0.5551,0.5549533,0.5535,0.5545,0.0017604000000006614,0.01200000000000001,0.013760400000000672,-0.0012167199999995049
136,2026-06-12T04:58:29.798Z,EPICUSDT,add,-a+b,12,sell,buy,58.0,4.0,54.0,-54.0,-58.0,-4.0,0.5555,0.5555,0.5539,0.5543,0.0,0.004800000000000804,0.004800000000000804,0.007140900000002226
137,2026-06-12T04:58:40.004Z,EPICUSDT,add,-a+b,12,sell,buy,17.0,24.0,7.0,7.0,-17.0,-24.0,0.5537,0.5539,0.5508,0.5546,-0.0023999999999997357,0.04560000000000031,0.04320000000000057,-0.015051000000000592
138,2026-06-12T05:09:56.418Z,EPICUSDT,close,+a-b,12,buy,sell,5.0,11.0,6.0,6.0,-5.0,-11.0,0.5087,0.5097,0.5105,0.5053,0.01200000000000001,0.06239999999999979,0.0743999999999998,-0.05888999999999989
139,2026-06-12T05:13:42.499Z,EPICUSDT,close,+a-b,12,buy,sell,17.0,26.0,9.0,9.0,-17.0,-26.0,0.5232,0.5234,0.5252,0.524,0.0023999999999997357,0.014399999999999746,0.016799999999999482,0.0009155999999999054
140,2026-06-12T05:14:01.614Z,EPICUSDT,close,+a-b,12,buy,sell,9.0,9.0,0.0,0.0,-9.0,-9.0,0.5362,0.5384,0.538,0.5384,0.026399999999999757,-0.004799999999999471,0.021600000000000286,-0.006460799999999267
141,2026-06-12T05:14:02.816Z,EPICUSDT,close,+a-b,12,buy,sell,3.0,6.0,3.0,3.0,-3.0,-6.0,0.5399,0.5399,0.5416,0.5403,0.0,0.015599999999999614,0.015599999999999614,-0.0016811999999992722
142,2026-06-12T05:14:39.929Z,EPICUSDT,close,+a-b,12,buy,sell,17.0,19.0,2.0,2.0,-17.0,-19.0,0.5547,0.5555,0.5568,0.5544,0.009600000000000275,0.028799999999999493,0.03839999999999977,-0.01985939999999964
143,2026-06-12T05:15:01.896Z,EPICUSDT,add,-a+b,12,sell,buy,4.0,11.0,7.0,7.0,-4.0,-11.0,0.5669,0.5667,0.5652,0.5669,0.0023999999999997357,0.020399999999999086,0.02279999999999882,-0.009201589999999982
144,2026-06-12T05:16:01.823Z,EPICUSDT,add,-a+b,12,sell,buy,22.0,26.0,4.0,4.0,-22.0,-26.0,0.5649,0.5674,0.5628,0.5683,-0.030000000000000693,0.06600000000000072,0.03600000000000003,-0.01761420000000058
145,2026-06-12T05:16:25.421Z,EPICUSDT,add,-a+b,12,sell,buy,3.0,13.0,10.0,10.0,-3.0,-13.0,0.5496,0.5515,0.5473,0.552,-0.022800000000000153,0.05640000000000045,0.033600000000000296,-0.012621000000000215
146,2026-06-12T05:17:17.893Z,EPICUSDT,add,-a+b,12,sell,buy,4.0,5.0,1.0,1.0,-4.0,-5.0,0.541,0.5403,0.539,0.5398,0.008400000000000407,0.009599999999998943,0.01799999999999935,-0.0004805999999986099
147,2026-06-12T05:18:26.382Z,EPICUSDT,add,-a+b,12,sell,buy,9.0,10.0,1.0,1.0,-9.0,-10.0,0.5475,0.5479,0.5458,0.5473,-0.004800000000000804,0.018000000000000682,0.013199999999999878,0.0006287999999994298
148,2026-06-12T05:25:14.962Z,EPICUSDT,close,+a-b,12,buy,sell,14.0,26.0,12.0,12.0,-14.0,-26.0,0.598,0.5981,0.6007,0.5988,0.0011999999999998678,0.022800000000000153,0.02400000000000002,0.0012186000000005137
149,2026-06-12T05:36:24.279Z,EPICUSDT,close,+a-b,12,buy,sell,22.0,24.0,2.0,2.0,-22.0,-24.0,0.6241,0.6252,0.6275,0.6245,0.013199999999999878,0.0359999999999987,0.04919999999999858,-0.015898199999998752
150,2026-06-12T05:45:57.184Z,EPICUSDT,close,+a-b,12,buy,sell,17.0,25.0,8.0,8.0,-17.0,-25.0,0.6224,0.6226317,0.6244,0.6227,0.0027804000000006823,0.020399999999999086,0.023180399999999768,-0.006651979999999114
151,2026-06-12T05:46:21.613Z,EPICUSDT,close,+a-b,12,buy,sell,17.0,26.0,9.0,9.0,-17.0,-26.0,0.6312,0.632,0.6332,0.6329,0.009600000000000275,0.0035999999999996035,0.013199999999999878,0.0032106000000009516
152,2026-06-12T05:46:41.091Z,EPICUSDT,close,+a-b,12,buy,sell,16.0,18.0,2.0,2.0,-16.0,-18.0,0.6312,0.6322,0.6332,0.6335,0.01200000000000001,-0.0035999999999996035,0.008400000000000407,0.008005799999999397
153,2026-06-12T05:48:14.952Z,EPICUSDT,close,+a-b,12,buy,sell,510.0,2.0,508.0,-508.0,-510.0,-2.0,0.6332,0.6346333,0.637,0.6356,0.01719959999999965,0.016799999999999482,0.03399959999999913,0.0039786099999998825
154,2026-06-12T05:48:46.638Z,EPICUSDT,close,+a-b,12,buy,sell,5.0,12.0,7.0,7.0,-5.0,-12.0,0.6368,0.6371333,0.6388,0.6386,0.00399959999999977,0.002400000000001068,0.006399600000000838,0.009945599999999999
155,2026-06-12T06:24:25.570Z,HOMEUSDT,add,+a-b,200,buy,sell,8.0,37.0,29.0,29.0,-8.0,-37.0,0.03004,0.03004,0.0303,0.03015,0.0,0.030000000000000165,0.030000000000000165,0.015981000000000023
156,2026-06-12T08:42:32.392Z,BTWUSDT,open,+a-b,100,buy,sell,21.0,29.0,8.0,8.0,-21.0,-29.0,0.07224,0.072653,0.072854,0.072287,0.04129999999999967,0.056699999999999806,0.09799999999999948,-0.043846999999999525
157,2026-06-12T08:51:10.387Z,BTWUSDT,close,-a+b,100,sell,buy,12.0,9.0,3.0,-3.0,-12.0,-9.0,0.07274,0.072677,0.072596,0.072554,0.006299999999999362,-0.004200000000000037,0.0020999999999993246,0.005038450000000694
158,2026-06-12T10:20:23.550Z,HOMEUSDT,add,+a-b,200,buy,sell,23.0,27.0,4.0,4.0,-23.0,-27.0,0.0285,0.02831,0.02885,0.02839,-0.03800000000000053,0.09200000000000041,0.05399999999999988,0.010330000000000616
159,2026-06-12T10:36:40.479Z,EPICUSDT,open,-a+b,12,sell,buy,28.0,31.0,3.0,3.0,-28.0,-31.0,0.6235,0.6227,0.621,0.6229,0.009600000000000275,0.022800000000000153,0.03240000000000043,-0.009873599999999705
160,2026-06-12T13:33:19.512Z,HOMEUSDT,close,-a+b,200,sell,buy,17.0,228.0,211.0,211.0,-17.0,-228.0,0.02855,0.02856,0.02848,0.02859,-0.0019999999999999185,0.02200000000000049,0.020000000000000573,-0.011715000000000586
161,2026-06-12T13:41:10.591Z,BTWUSDT,open,-a+b,100,sell,buy,4.0,54.0,50.0,50.0,-4.0,-54.0,0.07978,0.07947,0.079037,0.079589,0.03100000000000047,0.055199999999999694,0.08620000000000017,-0.01985293999999893
162,2026-06-12T14:17:02.535Z,HOMEUSDT,add,+a-b,200,buy,sell,18.0,83.0,65.0,65.0,-18.0,-83.0,0.02861,0.02864,0.02884,0.02865,0.0059999999999997555,0.03800000000000053,0.04400000000000029,-0.0037289999999998713
163,2026-06-12T14:21:45.472Z,EPICUSDT,close,+a-b,12,buy,sell,19.0,167.0,148.0,148.0,-19.0,-167.0,0.5526,0.5538,0.5551,0.5545,0.014399999999999746,0.007200000000000539,0.021600000000000286,0.001750200000000035
164,2026-06-12T14:44:21.618Z,HOMEUSDT,close,-a+b,200,sell,buy,15.0,855.0,840.0,840.0,-15.0,-855.0,0.02852,0.02849,0.02846,0.02853,0.0059999999999997555,0.014000000000000123,0.01999999999999988,-0.013701999999999437
165,2026-06-12T14:54:03.550Z,BTWUSDT,close,+a-b,100,buy,sell,4.0,286.0,282.0,282.0,-4.0,-286.0,0.07995,0.07968,0.080553,0.079538,-0.026999999999999247,0.1015000000000002,0.07450000000000095,-0.02216089000000032
166,2026-06-12T15:11:00.498Z,BTWUSDT,open,+a-b,100,buy,sell,20.0,27.0,7.0,7.0,-20.0,-27.0,0.07473,0.07495,0.075057,0.07466,0.021999999999999797,0.03969999999999946,0.061699999999999255,-0.03648050000000058
167,2026-06-12T15:18:24.242Z,BTWUSDT,close,-a+b,100,sell,buy,9.0,257.0,248.0,248.0,-9.0,-257.0,0.07615,0.07615,0.076007,0.076007,0.0,0.0,0.0,0.006692150000000119
168,2026-06-12T15:49:08.119Z,SKYAIUSDT,open,-a+b,30,sell,buy,16.0,22.0,6.0,6.0,-16.0,-22.0,0.31854,0.318316,0.31645,0.3185,0.006720000000000059,0.06149999999999989,0.06821999999999995,-0.015072239999998516
169,2026-06-12T15:58:26.379Z,SKYAIUSDT,close,+a-b,30,buy,sell,20.0,25.0,5.0,5.0,-20.0,-25.0,0.31242,0.3128,0.31301,0.31242,0.011400000000001409,0.017700000000001048,0.029100000000002457,-0.020778300000001693
170,2026-06-12T16:51:15.279Z,HOMEUSDT,close,-a+b,200,sell,buy,19.0,23.0,4.0,4.0,-19.0,-23.0,0.02887,0.02885,0.02878,0.02887,0.003999999999999837,0.01799999999999996,0.021999999999999797,-0.00977199000000084
171,2026-06-12T16:52:35.783Z,HOMEUSDT,close,-a+b,200,sell,buy,16.0,21.0,5.0,5.0,-16.0,-21.0,0.02909,0.02907,0.02902,0.02908,0.004000000000000531,0.012000000000000205,0.016000000000000736,-0.007815000000000794
