row_no,timestamp_iso,symbol,action,direction,qty,a_side,b_side,lat_a_age_ms,lat_b_age_ms,lat_leg_skew_ms,a_minus_b_ms,a_minus_recv_ms,b_minus_recv_ms,a_send_price,a_fill_price,b_send_price,b_fill_price,a_adverse_slippage_usdt,b_adverse_slippage_usdt,total_adverse_slippage_usdt,net_pnl
12,2026-06-10T22:27:16.810Z,BTWUSDT,add,+a-b,100,buy,sell,3.0,10.0,7.0,7.0,-3.0,-10.0,0.06748,0.0672938,0.067854,0.067231,-0.018619999999999748,0.062299999999999855,0.04368000000000011,-0.013006230000001118
13,2026-06-10T22:27:18.872Z,BTWUSDT,close,-a+b,100,sell,buy,3.0,3.0,0.0,0.0,-3.0,-3.0,0.067,0.06704,0.066872,0.066912,-0.003999999999999837,0.003999999999999837,0.0,0.006102399999999619
14,2026-06-10T22:27:48.382Z,BTWUSDT,add,-a+b,100,sell,buy,4.0,11.0,7.0,7.0,-4.0,-11.0,0.06666,0.0664,0.066237,0.06659,0.025999999999999635,0.03529999999999922,0.061299999999998855,-0.02564950000000099
15,2026-06-10T22:28:46.278Z,BTWUSDT,close,+a-b,100,buy,sell,20.0,44.0,24.0,24.0,-20.0,-44.0,0.06685,0.067,0.067207,0.066851,0.014999999999999736,0.03560000000000091,0.050600000000000644,-0.021592550000001154
16,2026-06-10T22:38:32.461Z,BTWUSDT,open,-a+b,100,sell,buy,42.0,42.0,0.0,0.0,-42.0,-42.0,0.05914,0.0576,0.058645,0.057723,0.15399999999999997,-0.09220000000000061,0.061799999999999355,-0.018066150000000114
17,2026-06-10T22:40:30.271Z,BTWUSDT,close,+a-b,100,buy,sell,20.0,32.0,12.0,12.0,-20.0,-32.0,0.05471,0.05479,0.054985,0.054484,0.007999999999999674,0.050100000000000144,0.05809999999999982,-0.03606370000000059
18,2026-06-10T23:20:21.356Z,WLDUSDT,close,-a+b,12,sell,buy,25.0,25.0,0.0,0.0,-25.0,-25.0,0.4418,0.4408,0.441,0.4407,0.01200000000000001,-0.0036000000000002697,0.008399999999999741,-0.004088999999998677
19,2026-06-10T23:27:05.959Z,BTWUSDT,open,-a+b,100,sell,buy,18.0,26.0,8.0,8.0,-18.0,-26.0,0.06133,0.06131,0.060976,0.061181,0.0019999999999999185,0.020499999999999685,0.022499999999999604,0.006775450000000127
20,2026-06-10T23:27:21.459Z,BTWUSDT,add,-a+b,100,sell,buy,5.0,11.0,6.0,6.0,-5.0,-11.0,0.06338,0.0632284,0.063018,0.063223,0.015160000000000173,0.020499999999999685,0.03565999999999986,-0.005782570000000042
21,2026-06-10T23:27:42.299Z,BTWUSDT,add,-a+b,100,sell,buy,16.0,18.0,2.0,2.0,-16.0,-18.0,0.06563,0.06552,0.065156,0.065429,0.010999999999999899,0.027299999999999547,0.038299999999999446,0.0025525499999998758
